Header of File
1;54;37;2023-06-07;952.34;Setubal;Portugal
2;12;45;2023-06-09;120.5;Berlin;Germany
3;33;18;2023-06-11;350.75;Munich;Germany
4;71;29;2023-06-14;799.99;Paris;France
5;26;52;2023-06-16;215.4;Lyon;France
6;89;63;2023-06-18;1299.0;Madrid;Spain
7;41;24;2023-06-20;499.9;Barcelona;Spain
8;17;76;2023-06-22;89.99;Rome;Italy
9;65;31;2023-06-24;645.3;Milan;Italy
10;38;84;2023-06-27;1050.0;Lisbon;Portugal
11;92;15;2023-07-01;725.6;Porto;Portugal
12;11;48;2023-07-03;199.99;Vienna;Austria
13;57;22;2023-07-06;899.45;Salzburg;Austria
14;73;68;2023-07-09;430.2;Amsterdam;Netherlands
15;24;36;2023-07-12;670.0;Rotterdam;Netherlands
16;80;91;2023-07-15;1500.75;Brussels;Belgium
17;46;27;2023-07-18;315.99;Antwerp;Belgium
18;31;73;2023-07-21;240.5;Prague;Czech Republic
19;68;19;2023-07-24;1100.0;Warsaw;Poland
20;15;58;2023-07-27;175.25;Krakow;Poland
21;99;42;2023-08-01;2099.99;Copenhagen;Denmark
22;52;87;2023-08-04;780.1;Stockholm;Sweden
23;28;33;2023-08-07;399.95;Oslo;Norway
24;76;64;2023-08-10;950.0;Helsinki;Finland
25;43;17;2023-08-13;560.4;Dublin;Ireland
26;21;95;2023-08-16;130.99;London;United Kingdom
27;84;39;2023-08-19;1450.25;Manchester;United Kingdom
28;60;71;2023-08-22;820.8;Zurich;Switzerland
29;35;26;2023-08-25;475.6;Geneva;Switzerland
30;90;55;2023-08-28;1899.0;Athens;Greece
1;54;37;2023-06-07;952.34;Setubal;Portugal
2;12;45;2023-06-09;120.5;Berlin;Germany
3;33;18;2023-06-11;350.75;Munich;Germany
4;71;29;2023-06-14;799.99;Paris;France
5;26;52;2023-06-16;215.4;Lyon;France
6;89;63;2023-06-18;1299.0;Madrid;Spain
7;41;24;2023-06-20;499.9;Barcelona;Spain
8;17;76;2023-06-22;89.99;Rome;Italy
9;65;31;2023-06-24;645.3;Milan;Italy
10;38;84;2023-06-27;1050.0;Lisbon;Portugal
11;92;15;2023-07-01;725.6;Porto;Portugal
12;11;48;2023-07-03;199.99;Vienna;Austria
13;57;22;2023-07-06;899.45;Salzburg;Austria
14;73;68;2023-07-09;430.2;Amsterdam;Netherlands
15;24;36;2023-07-12;670.0;Rotterdam;Netherlands
16;80;91;2023-07-15;1500.75;Brussels;Belgium
17;46;27;2023-07-18;315.99;Antwerp;Belgium
18;31;73;2023-07-21;240.5;Prague;Czech Republic
19;68;19;2023-07-24;1100.0;Warsaw;Poland
20;15;58;2023-07-27;175.25;Krakow;Poland
21;99;42;2023-08-01;2099.99;Copenhagen;Denmark
22;52;87;2023-08-04;780.1;Stockholm;Sweden
23;28;33;2023-08-07;399.95;Oslo;Norway
24;76;64;2023-08-10;950.0;Helsinki;Finland
25;43;17;2023-08-13;560.4;Dublin;Ireland
26;21;95;2023-08-16;130.99;London;United Kingdom
27;84;39;2023-08-19;1450.25;Manchester;United Kingdom
28;60;71;2023-08-22;820.8;Zurich;Switzerland
29;35;26;2023-08-25;475.6;Geneva;Switzerland
30;90;55;2023-08-28;1899.0;Athens;Greece
1;54;37;2023-06-07;952.34;Setubal;Portugal
2;12;45;2023-06-09;120.5;Berlin;Germany
3;33;18;2023-06-11;350.75;Munich;Germany
4;71;29;2023-06-14;799.99;Paris;France
5;26;52;2023-06-16;215.4;Lyon;France
6;89;63;2023-06-18;1299.0;Madrid;Spain
7;41;24;2023-06-20;499.9;Barcelona;Spain
8;17;76;2023-06-22;89.99;Rome;Italy
9;65;31;2023-06-24;645.3;Milan;Italy
10;38;84;2023-06-27;1050.0;Lisbon;Portugal
11;92;15;2023-07-01;725.6;Porto;Portugal
12;11;48;2023-07-03;199.99;Vienna;Austria
13;57;22;2023-07-06;899.45;Salzburg;Austria
